date,region,category,revenue_k_usd,profit_k_usd,gross_margin,marketing_spend_k_usd,units_sold,returning_customer_share
2021-01-01,North America,Electronics,653.08,110.76,0.1696,76.71,19034,0.3109
2021-02-01,North America,Electronics,534.91,94.41,0.1765,30.98,10122,0.3775
2021-03-01,North America,Electronics,582.41,111.01,0.1906,41.69,8938,0.3296
2021-04-01,North America,Electronics,623.93,111.37,0.1785,54.85,6706,0.3579
2021-05-01,North America,Electronics,715.65,125.34,0.1751,62.91,18667,0.3796
2021-06-01,North America,Electronics,841.21,146.6,0.1743,56.34,14147,0.4047
2021-07-01,North America,Electronics,753.19,127.74,0.1696,58.98,13147,0.3913
2021-08-01,North America,Electronics,752.79,135.49,0.18,61.71,10210,0.3859
2021-09-01,North America,Electronics,835.51,148.73,0.178,90.86,11103,0.3737
2021-10-01,North America,Electronics,857.09,146.23,0.1706,70.29,11776,0.4165
2021-11-01,North America,Electronics,1045.22,181.15,0.1733,104.32,15965,0.4155
2021-12-01,North America,Electronics,1232.83,211.69,0.1717,84.69,14473,0.3618
2022-01-01,North America,Electronics,668.94,121.06,0.181,55.13,10240,0.4048
2022-02-01,North America,Electronics,702.91,121.3,0.1726,63.76,23810,0.3927
2022-03-01,North America,Electronics,699.89,126.12,0.1802,47.73,18319,0.4217
2022-04-01,North America,Electronics,791.93,137.81,0.174,58.74,15159,0.3691
2022-05-01,North America,Electronics,744.41,122.6,0.1647,67.82,16248,0.4556
2022-06-01,North America,Electronics,732.12,133.03,0.1817,58.52,21246,0.4107
2022-07-01,North America,Electronics,774.34,121.36,0.1567,60.39,19434,0.3816
2022-08-01,North America,Electronics,766.66,129.08,0.1684,62.77,11419,0.422
2022-09-01,North America,Electronics,835.73,146.36,0.1751,62.46,16680,0.444
2022-10-01,North America,Electronics,1026.73,165.42,0.1611,60.58,15340,0.3962
2022-11-01,North America,Electronics,1283.46,218.76,0.1704,117.42,15954,0.4668
2022-12-01,North America,Electronics,1504.17,303.05,0.2015,136.92,25185,0.4539
2023-01-01,North America,Electronics,733.22,123.07,0.1678,58.81,8795,0.4547
2023-02-01,North America,Electronics,737.04,118.89,0.1613,44.71,15734,0.4626
2023-03-01,North America,Electronics,883.12,152.46,0.1726,53.42,20337,0.4294
2023-04-01,North America,Electronics,805.12,154.81,0.1923,91.99,16348,0.4904
2023-05-01,North America,Electronics,885.59,149.75,0.1691,58.14,22690,0.453
2023-06-01,North America,Electronics,847.44,133.52,0.1576,109.62,9664,0.4673
2023-07-01,North America,Electronics,912.86,167.11,0.1831,84.46,17212,0.4879
2023-08-01,North America,Electronics,996.21,170.85,0.1715,84.59,27500,0.5309
2023-09-01,North America,Electronics,951.46,157.47,0.1655,71.39,19500,0.5026
2023-10-01,North America,Electronics,1022.26,172.71,0.1689,72.17,23561,0.4902
2023-11-01,North America,Electronics,1399.57,207.37,0.1482,104.3,20909,0.4653
2023-12-01,North America,Electronics,1465.81,260.17,0.1775,142.76,40389,0.5105
2024-01-01,North America,Electronics,812.9,133.9,0.1647,74.17,8833,0.4954
2024-02-01,North America,Electronics,781.62,129.3,0.1654,70.41,22271,0.5069
2024-03-01,North America,Electronics,894.52,172.2,0.1925,70.05,10923,0.4644
2024-04-01,North America,Electronics,883.7,150.37,0.1702,51.52,10858,0.4481
2024-05-01,North America,Electronics,939.36,146.58,0.156,129.33,16882,0.4904
2024-06-01,North America,Electronics,979.38,145.69,0.1488,106.86,22331,0.4879
2024-07-01,North America,Electronics,1071.09,208.92,0.1951,64.08,28340,0.5769
2024-08-01,North America,Electronics,958.68,156.47,0.1632,108.3,20364,0.5252
2024-09-01,North America,Electronics,974.54,158.8,0.163,63.3,30862,0.5475
2024-10-01,North America,Electronics,1194.25,198.91,0.1666,91.37,13786,0.5159
2024-11-01,North America,Electronics,1501.33,245.76,0.1637,134.48,26862,0.5188
2024-12-01,North America,Electronics,1534.5,270.45,0.1762,102.97,44297,0.5737
2021-01-01,North America,Apparel,425.7,174.07,0.4089,44.3,5991,0.3412
2021-02-01,North America,Apparel,402.52,168.25,0.418,42.12,6821,0.3471
2021-03-01,North America,Apparel,445.8,189.0,0.424,21.99,7970,0.4102
2021-04-01,North America,Apparel,420.08,180.69,0.4301,31.79,5681,0.3525
2021-05-01,North America,Apparel,503.96,215.61,0.4278,49.84,7889,0.419
2021-06-01,North America,Apparel,502.45,216.45,0.4308,43.97,10621,0.4005
2021-07-01,North America,Apparel,461.27,198.73,0.4308,48.03,6669,0.3975
2021-08-01,North America,Apparel,549.73,236.83,0.4308,58.12,5959,0.3636
2021-09-01,North America,Apparel,562.38,242.04,0.4304,47.57,12503,0.3468
2021-10-01,North America,Apparel,548.89,234.72,0.4276,52.86,9268,0.3966
2021-11-01,North America,Apparel,741.11,318.04,0.4291,43.3,8198,0.4094
